样本编号,含油面积百分含量
113,0.017683919270833334%
114,0.020939127604166666%
116,0.022273763020833334%
118,0.020768229166666666%
119,0.022762044270833334%
120,0.0234375%
121,0.01754557291666667%
122,0.5881998697916666%
123,0.08920084635416667%
124,0.023136393229166666%
125,0.020296223958333335%
126,0.031388346354166666%
127,0.11904296875%
129,0.19593912760416665%
130,0.0751953125%
132,0.020369466145833334%
133,0.3190022786458333%
134,0.07958984375%
135,0.7877604166666666%
136,0.0203369140625%
137,1.0132242838541665%
138,0.020239257812499998%
140,0.022493489583333335%
141,0.0178955078125%
142,0.06607259114583333%
143,0.0186279296875%
144,0.030867513020833334%
145,0.12246907552083335%
146,0.01840006510416667%
147,0.019132486979166665%
148,0.014941406249999999%
149,0.07215169270833334%
150,0.0269287109375%
151,0.021240234375%
152,0.022151692708333334%
153,0.03131510416666666%
154,0.016219075520833334%
155,0.695947265625%
156,0.0179443359375%
157,0.01884765625%
158,0.04839680989583333%
159,0.020703125%
160,0.0220947265625%
161,0.0223388671875%
162,0.018196614583333333%
163,0.04947916666666667%
164,0.0185302734375%
165,0.159912109375%
166,0.02120768229166667%
167,0.016373697916666666%
168,0.05050455729166667%
169,0.021964518229166667%
170,0.024739583333333336%
171,0.01923828125%
172,0.035441080729166664%
174,0.0242919921875%
176,0.02163899739583333%
177,0.022884114583333334%
178,0.06424967447916667%
179,0.0326416015625%
180,0.10107421874999999%
181,0.017032877604166666%
182,0.023681640625%
183,0.0271728515625%
184,0.019474283854166666%
185,0.08822428385416667%
186,0.020817057291666666%
187,0.16571451822916666%
188,0.05406901041666667%
189,0.04881998697916667%
190,0.020833333333333336%
192,0.02352701822916667%
193,0.020149739583333333%
194,0.016609700520833333%
195,0.028474934895833335%
196,0.018115234375%
197,0.32919921875%
198,0.03760579427083333%
199,0.09909667968750001%
200,0.017325846354166667%
201,0.019099934895833334%
202,0.014892578125%
204,0.034651692708333334%
206,0.086474609375%
207,0.032430013020833336%
208,0.020792643229166668%
209,0.28766276041666666%
210,0.030053710937500002%
211,0.15558268229166666%
212,0.0221435546875%
213,0.018660481770833334%
214,0.0214111328125%
215,0.1620849609375%
216,0.02474772135416667%
217,0.0178955078125%
218,0.023168945312499998%
219,0.020353190104166665%
220,0.022762044270833334%
221,0.027229817708333333%
222,0.029793294270833333%
223,0.04571126302083334%
224,0.018009440104166666%
225,0.4356689453125%
226,0.018994140625%
227,0.06588541666666667%
228,0.02188313802083333%
229,0.018790690104166667%
230,0.017919921875%
231,0.019482421875000003%
232,0.02630208333333333%
233,0.026855468750000003%
234,0.017252604166666668%
235,0.023982747395833334%
236,0.023388671875%
237,0.0861572265625%
238,0.022029622395833334%
239,0.016373697916666666%
240,0.022501627604166664%
242,0.019620768229166665%
243,0.23566894531250002%
244,0.017179361979166665%
245,0.054101562500000006%
246,0.13080240885416666%
247,0.0340087890625%
248,0.31105143229166665%
249,0.022908528645833332%
250,0.10944010416666666%
251,0.0355224609375%
253,0.020011393229166667%
254,0.032177734375%
255,0.03302408854166667%
256,0.13492838541666666%
257,0.035506184895833334%
258,0.016829427083333334%
260,0.04210611979166667%
261,0.025325520833333337%
262,0.3783040364583333%
263,0.022021484375%
266,0.04812825520833333%
267,0.2826416015625%
268,0.022347005208333333%
269,0.0197021484375%
270,0.497314453125%
271,0.033894856770833336%
272,0.07224934895833333%
273,0.01748046875%
275,0.0249267578125%
276,0.01923828125%
277,0.019873046874999998%
278,0.0177734375%
279,0.025830078125000003%
280,0.06525065104166666%
281,0.02059733072916667%
282,0.0186767578125%
283,0.2239664713541667%
284,0.14278971354166667%
285,0.015592447916666669%
287,0.02099609375%
289,0.0365966796875%
290,0.021134440104166666%
291,0.022867838541666668%
292,0.022802734375%
293,0.024365234375%
294,0.03905436197916667%
295,0.07730305989583333%
296,0.07682291666666666%
297,0.025585937500000003%
298,0.019368489583333332%
299,0.028889973958333332%
302,0.0630126953125%
303,0.017919921875%
304,0.022778320312500003%
305,0.03128255208333334%
306,0.01805013020833333%
309,0.021321614583333332%
310,0.019889322916666667%
311,0.27946777343749996%
313,0.016609700520833333%
314,0.018806966145833333%
315,0.06053873697916667%
316,0.029508463541666665%
317,0.022037760416666666%
318,0.020613606770833334%
319,0.01875%
322,0.21359287177848377%
323,1.5831191370110913%
324,1.2587985038574838%
325,0.7502616202545273%
326,0.01144344446070289%
327,10.592718103630766%
329,0.3067322563257656%
330,0.7869447281880406%
331,0.02185671707694006%
333,0.017789898367874573%
334,0.059934784169753404%
335,0.41028971691755445%
336,1.1017376128077905%
337,1.0008277310582112%
338,1.8136308545206894%
339,0.023091855350748928%
340,3.3993423921596424%
341,0.2982673700418176%
342,0.9667258266564172%
343,0.14783120254239343%
344,0.01655450902169961%
346,4.591688996015384%
347,1.186732236933097%
348,0.20146746817538896%
349,0.18174373751995562%
350,1.2121421679170237%
